127.0.0.1 - - [05/Nov/2014 10:45:24] "GET /account/store HTTP/1.1" 404 4234 0.0201
127.0.0.1 - - [05/Nov/2014 10:45:27] "GET / HTTP/1.1" 200 2677 0.0147
127.0.0.1 - - [05/Nov/2014 10:45:27] "GET /javascripts/js_utils.js HTTP/1.1" 200 1414 0.0012
127.0.0.1 - - [05/Nov/2014 10:45:27] "GET /javascripts/application.js HTTP/1.1" 200 4769 0.0013
127.0.0.1 - - [05/Nov/2014 10:45:27] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 200 548 0.0012
127.0.0.1 - - [05/Nov/2014 10:45:36] "GET /user/login HTTP/1.1" 200 3841 0.0126
127.0.0.1 - - [05/Nov/2014 10:45:36] "GET /javascripts/user_login.js HTTP/1.1" 200 2131 0.0008
127.0.0.1 - - [05/Nov/2014 10:45:36] "GET /javascripts/bootstrapValidator.js HTTP/1.1" 200 322706 0.0013
127.0.0.1 - - [05/Nov/2014 10:51:27] "GET /user/login HTTP/1.1" 200 3841 0.0121
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET / HTTP/1.1" 200 3254 0.0242
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 200 84245 0.0012
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 200 31819 0.0010
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/nprogress.js HTTP/1.1" 200 11594 0.0010
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 200 109518 0.0012
127.0.0.1 - - [05/Nov/2014 16:32:04] "GET /stylesheets/nprogress.css HTTP/1.1" 200 1458 0.0010
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET / HTTP/1.1" 200 3264 0.0190
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0008
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:31] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET / HTTP/1.1" 200 3264 0.0123
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:36] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:39] "GET / HTTP/1.1" 200 3264 0.0112
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0008
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:40] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0006
